,Total,fossile_fuel,nuclear,renewable,storage
Bergkamen_202001010000_202004302345_28,120080.0,1.0,0.0,0.0,0.0
Boxberg_202001010000_202004302345_71,7827456.0,1.0,0.0,0.0,0.0
Braunkohlekraftwerk_Lippendorf_202001010000_202004302345_136,2310936.0,1.0,0.0,0.0,0.0
Brokdorf_202001010000_202004302345_150,3516994.0,0.0,1.0,0.0,0.0
Burghausen_GT_202001010000_202004302345_36,104288.0,1.0,0.0,0.0,0.0
Buschhaus_202001010000_202004302345_146,0.0,1.0,0.0,0.0,0.0
Cuno_Heizkraftwerk_Herdecke_202001010000_202004302345_17,59685.0,1.0,0.0,0.0,0.0
Datteln_202001010000_202004302345_156,0.0,1.0,0.0,0.0,0.0
Dormagen_202001010000_202004302345_70,188669.0,1.0,0.0,0.0,0.0
Duisburg_Hamborn_202001010000_202004302345_43,0.0,1.0,0.0,0.0,0.0
Duisburg_Heizkraftwerk_III_202001010000_202004302345_18,0.0,1.0,0.0,0.0,0.0
Duisburg_Ruhrort_202001010000_202004302345_5,0.0,1.0,0.0,0.0,0.0
E-Werk_Wilhelmshaven_202001010000_202004302345_79,273990.0,1.0,0.0,0.0,0.0
Emsland_202001010000_202004302345_87,2773152.0,1.0,0.0,0.0,0.0
Farge_202001010000_202004302345_52,110483.0,1.0,0.0,0.0,0.0
Franken_1_202001010000_202004302345_104,53444.0,1.0,0.0,0.0,0.0
Gas-und-Dampfturbinen_Kraftwerk_Mitte_202001010000_202004302345_49,857463.0,1.0,0.0,0.0,0.0
Gaskraftwerk_Irsching_202001010000_202004302345_97,3448.0,1.0,0.0,0.0,0.0
Gemeinschaftskernkraftwerk_Neckarwestheim_II_202001010000_202004302345_44,3655167.0,0.0,1.0,0.0,0.0
Gersteinwerk_202001010000_202004302345_147,0.0,0.0,0.0,0.0,0.0
GKH_St_cken_202001010000_202004302345_54,213502.0,1.0,0.0,0.0,0.0
Goldisthal_202001010000_202004302345_108,1852304.0,0.0,0.0,0.0,1.0
Grohnde_202001010000_202004302345_148,3086394.0,0.0,1.0,0.0,0.0
Heizkraftwerk_Altbach_Deizisau_202001010000_202004302345_10,0.0,1.0,0.0,0.0,0.0
Generation_DE Heizkraftwerk Dresden0Nossener Brücke Heizkraftwerk_Dresden-Nossener_Br_cke_202001010000_202004302345_92,576940.0,,,,
Heizkraftwerk_Heilbronn_202001010000_202004302345_62,0.0,1.0,0.0,0.0,0.0
Heizkraftwerk_Lausward_202001010000_202004302345_74,0.0,1.0,0.0,0.0,0.0
Heizkraftwerk_Leipzig-Nord_202001010000_202004302345_80,291443.0,1.0,0.0,0.0,0.0
Heizkraftwerk_Merkenich_202001010000_202004302345_102,0.0,1.0,0.0,0.0,0.0
Heizkraftwerk_M_nchen_S_d_GUD1__202001010000_202004302345_9,0.0,1.0,0.0,0.0,0.0
Heizkraftwerk_M_nchen_S_d_GUD2_202001010000_202004302345_141,917632.0,1.0,0.0,0.0,0.0
Heizkraftwerk_Niehl_202001010000_202004302345_93,575442.0,1.0,0.0,0.0,0.0
Heizkraftwerk_R_merbr_cke_202001010000_202004302345_73,0.0,1.0,0.0,0.0,0.0
Heizkraftwerk_West_Wolfsburg_202001010000_202004302345_124,406528.0,1.0,0.0,0.0,0.0
Heizkraftwerk_West__Frankfurt__202001010000_202004302345_67,0.0,1.0,0.0,0.0,0.0
Heyden_202001010000_202004302345_140,111652.0,1.0,0.0,0.0,0.0
Huntorf_202001010000_202004302345_30,0.0,1.0,0.0,0.0,0.0
Ibbenb_ren_202001010000_202004302345_114,140344.0,1.0,0.0,0.0,0.0
IKS_PCK_Schwedt_202001010000_202004302345_89,0.0,1.0,0.0,0.0,0.0
Isar_2_202001010000_202004302345_66,3889754.0,1.0,0.0,0.0,0.0
Kernkraftwerk_Emsland_202001010000_202004302345_138,3792960.0,0.0,1.0,0.0,0.0
Kernkraft_Gundremmingen__202001010000_202004302345_116,6270738.0,0.0,1.0,0.0,0.0
Klingenberg_202001010000_202004302345_48,289960.0,0.0,1.0,0.0,0.0
Knapsack_Gas_II_202001010000_202004302345_103,328794.0,1.0,0.0,0.0,0.0
Knapsack_Gas_I_202001010000_202004302345_113,440554.0,1.0,0.0,0.0,0.0
KNG_Kraftwerk_Rostock_202001010000_202004302345_35,233347.0,1.0,0.0,0.0,0.0
Koepchenwerk_202001010000_202004302345_134,33055.0,0.0,0.0,0.0,1.0
Generation_DE GUD A 800 Kraftwerk_BASF_Ludwigshafen_Mitte_202001010000_202004302345_20,0.0,,,,
Generation_DE GUD C 200Kraftwerk_BASF_Ludwigshafen_S_d_202001010000_202004302345_42,402341.0,,,,
Kraftwerk_Bexbach_202001010000_202004302345_154,16735.0,1.0,0.0,0.0,0.0
Kraftwerk_Bremer_Hafen_202001010000_202004302345_83,0.0,1.0,0.0,0.0,0.0
Kraftwerk_Hastedt_202001010000_202004302345_118,0.0,1.0,0.0,0.0,0.0
Kraftwerk_Herne_202001010000_202004302345_115,0.0,1.0,0.0,0.0,0.0
Kraftwerk_Ingolstadt_202001010000_202004302345_100,52.0,1.0,0.0,0.0,0.0
Kraftwerk_J_nschwalde_202001010000_202004302345_153,0.0,1.0,0.0,0.0,0.0
Kraftwerk_Mainz_202001010000_202004302345_50,1120528.0,1.0,0.0,0.0,0.0
Kraftwerk_Mittelsb_ren_202001010000_202004302345_4,0.0,1.0,0.0,0.0,0.0
Kraftwerk_Rheinfelden_202001010000_202004302345_78,95451.0,,0.0,1.0,0.0
Kraftwerk_Walheim_202001010000_202004302345_85,0.0,1.0,0.0,0.0,0.0
Kraftwerk_Walsum_202001010000_202004302345_94,1524876.0,1.0,0.0,0.0,0.0
KWH_Hannover_202001010000_202004302345_53,0.0,1.0,0.0,0.0,0.0
KWM_Mehrum_202001010000_202004302345_107,0.0,1.0,0.0,0.0,0.0
Generation_DE BHKW Modul 1020K_stenkraftwerk_K.I.E.L._202001010000_202004302345_72,108239.0,,,,
Markersbach_202001010000_202004302345_121,0.0,,0.0,0.0,1.0
Moorburg_202001010000_202004302345_122,1106436.0,1.0,0.0,0.0,0.0
M_nchen_Nord_2_202001010000_202004302345_63,0.0,1.0,0.0,0.0,0.0
Neurath_202001010000_202004302345_132,143398848.0,1.0,0.0,0.0,0.0
Niederau_em_202001010000_202004302345_119,136014080.0,1.0,0.0,0.0,0.0
Restm_ll-Heizkraftwerk_Stuttgart-M_nster_202001010000_202004302345_117,0.0,1.0,0.0,0.0,0.0
Reuter_West_202001010000_202004302345_16,608104.0,1.0,0.0,0.0,0.0
Rheinhafen-Dampfkraftwerk_202001010000_202004302345_77,2509524.0,1.0,0.0,0.0,0.0
Rheinkraftwerk_Iffezheim_202001010000_202004302345_81,243271.0,,0.0,1.0,0.0
Schkopau_202001010000_202004302345_99,449996.0,1.0,0.0,0.0,0.0
Scholven_202001010000_202004302345_125,6797600.0,1.0,0.0,0.0,0.0
Schwarze_Pumpe_202001010000_202004302345_95,2365028.0,1.0,0.0,0.0,0.0
Staudinger_202001010000_202004302345_88,2937216.0,1.0,0.0,0.0,0.0
S_ckingen_202001010000_202004302345_152,69051.0,,0.0,1.0,0.0
Tiefstack_202001010000_202004302345_31,679996.0,1.0,0.0,0.0,0.0
Trianel_Gaskraftwerk__202001010000_202004302345_96,315890.0,1.0,0.0,0.0,0.0
Trianel_Kohlekraftwerk_L_nen_202001010000_202004302345_26,445221.0,1.0,0.0,0.0,0.0
V_lklingen_202001010000_202004302345_90,57758.0,1.0,0.0,0.0,0.0
Waldeck_2_202001010000_202004302345_32,253622.0,1.0,0.0,0.0,0.0
Wehr_202001010000_202004302345_3,142755.0,0.0,0.0,0.0,0.0
Weiher_202001010000_202004302345_21,7241.0,0.0,0.0,0.0,0.0
Weisweiler_202001010000_202004302345_112,0.0,1.0,0.0,0.0,0.0
Westfalen_202001010000_202004302345_142,0.0,1.0,0.0,0.0,0.0
Witznau_202001010000_202004302345_68,53080.0,0.0,0.0,0.0,1.0
Zolling_202001010000_202004302345_101,0.0,1.0,0.0,0.0,0.0
Heizkraftwerk_Dresden-Nossener_Br_cke_202001010000_202004302345_92,,1.0,0.0,0.0,0.0
Kraftwerk_BASF_Ludwigshafen_Mitte_202001010000_202004302345_20,,1.0,0.0,0.0,0.0
Kraftwerk_BASF_Ludwigshafen_S_d_202001010000_202004302345_42,,1.0,0.0,0.0,0.0
K_stenkraftwerk_K.I.E.L._202001010000_202004302345_72,,1.0,0.0,0.0,0.0
